 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
SS,,,San Gabriel Valley Center,,"Outreach, intake and assessment services for homeless persons.  On site supportive services include intake/assessment, case management, housing assistance, employment assistance, veteran services, mental health services, life skills training, benefits advocacy, parenting classes, medical services and referrals.",,Mon-Fri 8:30am-1:30pm,1345 Turnbull Canyon Rd,,CA,El Monte,91731,626.444.9000,,www.esgvchomeless.org/eac.shtml,confirmed,
CM,,,San Gabriel Valley Center,,"Outreach, intake and assessment services for homeless persons.  On site supportive services include intake/assessment, case management, housing assistance, employment assistance, veteran services, mental health services, life skills training, benefits advocacy, parenting classes, medical services and referrals.",Homeless Families,M-Th: 9am-6pm; Fri:8:30am-5:30pm,11046 Valley Mall,,CA,El Monte,91731,,,,,
EES,,,San Gabriel Valley Center,,"Outreach, intake and assessment services for homeless persons.  On site supportive services include intake/assessment, case management, housing assistance, employment assistance, veteran services, mental health services, life skills training, benefits advocacy, parenting classes, medical services and referrals.",Homeless Families,M-Th: 9am-6pm; Fri:8:30am-5:30pm,11046 Valley Mall,,CA,El Monte,91731,,,,,
MHS,,,San Gabriel Valley Center,,"Outreach, intake and assessment services for homeless persons.  On site supportive services include intake/assessment, case management, housing assistance, employment assistance, veteran services, mental health services, life skills training, benefits advocacy, parenting classes, medical services and referrals.",Homeless Families,M-Th: 9am-6pm; Fri:8:30am-5:30pm,11046 Valley Mall,,CA,El Monte,91731,,,,,
SS,,,San Gabriel Valley Center,,"Outreach, intake and assessment services for homeless persons.  On site supportive services include intake/assessment, case management, housing assistance, employment assistance, veteran services, mental health services, life skills training, benefits advocacy, parenting classes, medical services and referrals.",Homeless Families,M-Th: 9am-6pm; Fri:8:30am-5:30pm,11046 Valley Mall,,CA,El Monte,91731,,,,,
HCS,,,San Gabriel Valley Center,,"Outreach, intake and assessment services for homeless persons.  On site supportive services include intake/assessment, case management, housing assistance, employment assistance, veteran services, mental health services, life skills training, benefits advocacy, parenting classes, medical services and referrals.",Homeless Families,M-Th: 9am-6pm; Fri:8:30am-5:30pm,11046 Valley Mall,,CA,El Monte,91731,,,,,
SS,,,San Gabriel Valley Conservation Corps,,Serving Youth Families and Communities,Families,,3629 Cypress Ave.,,CA,El Monte,91731,626.579.2484,,www.sgvcorps.org,,
HCS,,,San Gabriel Valley Foundation for Dental Health,,"General dentistry, stainless steel crowns, space maintainers. No root canals in molars. $20 per visit, irrespective of service provided.",Children ages 3-14,"Mon 8am-5pm, Weds 8am-noon",14101 E. Nelson Ave,,CA,La Puente,91746,626.934.2894,,www.sgvfdh.com,,
SS,,,San Gabriel Valley Service Center,,Community based prevention and early intervention program.,"55 or older, and have limited health insurance or financial resources.",Call for inquiry.,1441 Santa Anita Ave,,CA,El Monte,91733,626.575.5431,,,,
HCS,,,San Gabriel Valley Service Center,,Community based prevention and early intervention program.,"55 or older, and have limited health insurance or financial resources.",Call for inquiry.,1441 Santa Anita Ave,,CA,El Monte,91733,626.575.5431,,,,
CM,Karen,DeLaGarza,San Gabriel/Pomona Regional Center,Service Coordinator,"Case management for developmentally disabled; mental retardation, cerebral palsy, epilepsy, down syndrome.",,Mon-Fri 8-5pm,761 Corporate Center Dr.,,CA,Pomona,91768,909.620.7722,kdelagarza@sgprc.org,www.sgprc.org,confirmed,
MHS,,,Santa Anita Family Service,,"Family services: counseling, mental health care, senior care services.",,,206 W. Las Tunas ,STE.12,CA,San Gabriel Valley,91776,626.308.1414,,www.santaanitafamilyservice.org,,
SS,,,Santa Anita Family Service,,"Family services: counseling, mental health care, senior care services.",,,206 W. Las Tunas ,STE.12,CA,San Gabriel Valley,91776,626.308.1414,,www.santaanitafamilyservice.org,,
LS,,,Santa Monica Courthouse- Legal Aid Foundation of Los Angeles (LAFLA),,Free or Low-cost help for evictions,Low-income individuals,"Walk-ins only M,T, W, Th 9am-12pm & 1:30-4pm; Fri 9am-12pm",1725 Main St,#210,CA,Santa Monica,90401,,,,,
CDR,,,"Self Help and Recovery Exchange (SHARE)
 ",,"Residential housing services throughout LA County250 houses in LA County 2 persons to 1 bedroom at $500.00 per month0 each Willing to attend 3 self help support groups per week Groups Include: NA, AA, VA, CODA, PTSD, Anxiety, Fibromyalgia, and others. Volunteer to Job Program",,,"6666 Green Valley Cir Culver city,",,CA,Culver City,90203,310-846-5270,,,,
SS,Dr. Lee,Nattress,Services Center for Independent Living,Executive Director,,,,107 Spring Street,,CA,Claremont,91711,909.621.6722,lee@scil-ilc.org,www.scil-ilc.org,left message 10/9,
SS,Felicia,Apodaca,Services for Independent Living,Independent Living Specialist/Youth,,,Mon-Fri 8am-5pm,1520 W. Cameron Ave.,STE. 160,CA,West Covina,91790,626.337.8868,,www.sil-oh.org,left message 10/9,
FB,,,Seventh Day Adventist Church,,Food Bank,,Every 2nd and 4th Thurs 12-1:30pm,360 W. 3rd St,,CA,Pomona,91766,,,,,
SS,Rachel,Aguilar,SGV Best Babies Collaborative,Program Coordinator,Home visitation services for pregnant women. Referrals for homeless.,,Mon-Fri 9-5pm,1115 S. Sunset Ave.,,CA,West Covina,91790,626.851.2749,,,confirmed,
FB,,,SHARE Program,,Food assistance-pays $15 and contributes 2 hours of volunteer service to receive food packages.,,M-F 10:00-4:00pm,1205 N. Baker St.,,CA,Ontario,,909.986.2633,,,,
FB,,,Shepherd's Pantry,,Food Pantry,,Weds-Thurs 5-7:00pm,657 E. Arrow Hwy,,CA,Glendora,91740,626.852.7630,,www.shepherdspantry.com,confirmed,
FB,,,Shield of Faith Pomona,,Food Assistance,,Sat 9:00a.m.-12:00p.m. Bag of Food                             Hot meals Th at4:30p.m.,1750 W. Holt,,CA,Pomona,91768,909.629.6294,,www.shieldoffaithpomona.org,confirmed,
SS,Reginald,Van Appelen,SHIELDS for Families,Support Services Manager,"Substance-abuse treatment, mental health","Services offer children & families the chance to succeed—for children to excel in school, for families to break the cycle of poverty.",M-F 8:30a.m.-5:00p.m.,11601 S Western Ave,,CA,Los Angeles,90047,"323.242.5000 
Ext.1246",,www.shieldsforfamilies.org,confirmed,
MHS,Reginald,Van Appelen,SHIELDS for Families,Support Services Manager,"Substance-abuse treatment, mental health","Services offer children & families the chance to succeed—for children to excel in school, for families to break the cycle of poverty.",M-F 8:30a.m.-5:00p.m.,11601 S Western Ave,,CA,Los Angeles,90047,"323.242.5000 
Ext.1246",,www.shieldsforfamilies.org,confirmed,
SS,Evelyn,Echols,Social Security Administration,Technical Expert,Social Security Benefits,,M-F/9am-3pm,225 W Broadway,suite 600,CA,Glendora,91740,800-772-1213,,www.ssa.gov,confirmed,
SS,Deeanna,Contreras,"Social Security Administration, El Monte California",Operations Officer,,,,,,CA,El Monte,91731,"866.931.0340 
ext.11842",,www.ssa.gov,confirmed,
SS,,,Social Security Office,,Benefits Assistance Social Security and Medicare benefits,,M-F 9:00a.m.to 4:00p.m.,960 W. Mission Blvd.,,CA,Pomona,91766,909.772.1213,,www.ssa.gov,confirmed,
HCS,,,Socorro,,"Quality, affordable residential and outpatient services treating addiction.",Adults battling addiction.,Mon-Fri 8:30am-4:30pm," 
2010 N. Lincoln Park Ave",,CA,Los Angeles,90031,323.222.1440,,www.cri-help.org,,
SS,,,Socorro,,"Quality, affordable residential and outpatient services treating addiction.",Adults battling addiction.,Mon-Fri 8:30am-4:30pm," 
2010 N. Lincoln Park Ave",,CA,Los Angeles,90031,323.222.1440,,www.cri-help.org,,
DV,,,Sojourn,,DV hotline,*Spanish Spoken,24hr hotline,,,CA,Santa Monica,,310.264.6644,,,,
FB,,,Southern California HealthCare's,,Food Pantry,,2nd and 4th Tues of the month 1-4:30pm,554 Workman Mill Rd.,,CA,La Puente,91746,626.330.9277,,,confirmed,
FB,,,Sowing Seeds  For Life,,Food Assistance,,1st/3rd Wed 3-5pm,370 E Holt Ave,,CA,Pomona,91767,,,,,
FB,,,Sowing Seeds for Life,,Food Bank,*look for blue tents,1st and 3rd Weds 12-5pm,1350 Arrow Hwy.,,CA,La Verne,91750,909.392.5777,,www.sowingseedsforlife.org,confirmed,
FB,,,Sowing Seeds For Life,,Food Assistance,,1st/3rd Wed 3-5pm,1350 Arrow Hwy,,CA,Pomona,91767,,,,,
SS,,,Springboard,,"non-profit consumer credit management, financial counseling services",,,3505 N. Hart Ave,,CA,Rosemead,91770,800.431.8456,,,,
FB,,,St Madeleine Catholic Church,,Food Basket,,2nd Sat:11:00-12:00; Last Fri: 9-11,931 E. Kinsley Ave,,CA,Pomona,91767,909.865.4433,,,,
CM,Gail,Moore,St. Anne's Transitional Homes for Soldiers,President/CEO,"Transitional Housing, Case Management, Supportive Services",Homeless Veterans,Call for more information,1142 S. Diamond Bar Blvd.,Ste 146,CA,Diamond Bar,91765,909.612.1197,stannestrans@yahoo.com,,confirmed,
BH,Gail,Moore,St. Anne's Transitional Homes for Soldiers,President/CEO,"Transitional Housing, Case Management, Supportive Services",Homeless Veterans,Call for more information,1142 S. Diamond Bar Blvd.,Ste 146,CA,Diamond Bar,91765,909.612.1197,stannestrans@yahoo.com,,confirmed,
SS,Gail,Moore,St. Anne's Transitional Homes for Soldiers,President/CEO,"Transitional Housing, Case Management, Supportive Services",Homeless Veterans,Call for more information,1142 S. Diamond Bar Blvd.,Ste 146,CA,Diamond Bar,91765,909.612.1197,stannestrans@yahoo.com,,confirmed,
FB,,,St. Anthony's Christian Service,,Food Bank,,Mon-Fri 6-7:30pm,1901 S. San Gabriel Blvd,,CA,San Gabriel,91776,626.288.8912,,,,
"F, HC, SS",Judi,Pena,St. Christopher Catholic Church,,"Meals, clothing, showers, overnight shelter, health screenings (Thursdays only)",,"Mon-Thurs 8am-8pm, Fri 8am-4pm",629 S. Glendora Ave,,CA,West Covina,91790,626.960.1805,,www.stchristopherparish.org,confirmed,
SS,Marilyn,Eng,"St. Denis Catholic Community 
Diamond Bar",Member,,,"Mon-Fri 8am-9pm, Sat 8am-8pm, Sun 7:30am-7:30pm",2151 S. Diamond Bar Blvd,,CA,Diamond Bar,91765,909.861.7106,mreng5@yahoo.com,www.stdenis.org,confirmed,
FB,,,St. John Coptic Orthodox,,Food Pantry,,Tues-Fri 2-4:00pm,21329 Cienega Ave,,CA,Covina,91724,626.279.7774,,www.mystjohn.org,confirmed,
FB,,,St. John Vianney Church,,Food Pantry,,Saturday 8:30am-12:30pm,1345 Turnbull Canyon Rd,,CA,Hacienda Heights,91745,626.330.2269,,www.sjvhh.org,confirmed,
FB,,,St. Joseph's Church,,Food Bank,,"Mon, Wed, Fri 9-11am",1150 W. Holt Ave,,CA,Pomona,91768,,,,,
FB,,,St. Mary's Place,,Food Pantry,,Mon-Weds 9am-12pm,7033 Milton Ave,,CA,Whittier,90602,562.698.0608,,,confirmed,
FB,,,St. Vincent De Paul,,Food Pantry,,Mon Weds Fri 9-11:00am,1150 West Holt Ave,,CA,Pomona,91768,909.469.9773,,,confirmed,
BH,Stacy,Do,State CA Department of Rehabilitation,Senior Vocational Rehabilitation Counselor,,,,1501 W. Cameron Ave.,STE. 300,CA,West Covina,91790,626.813.7662,,www.rehab.cawhnet.gov,left message 10/9,
SS,Stacy,Do,State CA Department of Rehabilitation,Senior Vocational Rehabilitation Counselor,,,,1501 W. Cameron Ave.,STE. 300,CA,West Covina,91790,626.813.7662,,www.rehab.cawhnet.gov,left message 10/9,
DV,,,Su Casa,,DV hotline,,24hr hotline,,,CA,Artesia,,562.402.4888,,www.sucasadv.org,,
ES,,,T.A.Y. Program,,"Enhanced emergency shelter program for immediate and urgent housing needs of the SED/SPMI, TAY young men (18-25) indigent, homeless, at risk of homelessness, temporary shelter for TAY clients in a supportive housing environment for up to 29 nights (including extensions) while pursuing long term goals of permanent housing, free transportation, meals and other enhanced services.",,"24 hours a day, 7 days a week",,,CA,,,213.738.6194,,,confirmed,
SS,,,T.A.Y. Program,,"Enhanced emergency shelter program for immediate and urgent housing needs of the SED/SPMI, TAY young men (18-25) indigent, homeless, at risk of homelessness, temporary shelter for TAY clients in a supportive housing environment for up to 29 nights (including extensions) while pursuing long term goals of permanent housing, free transportation, meals and other enhanced services.",,"24 hours a day, 7 days a week",,,CA,,,213.738.6194,,,confirmed,
FB,,,T.A.Y. Program,,"Enhanced emergency shelter program for immediate and urgent housing needs of the SED/SPMI, TAY young men (18-25) indigent, homeless, at risk of homelessness, temporary shelter for TAY clients in a supportive housing environment for up to 29 nights (including extensions) while pursuing long term goals of permanent housing, free transportation, meals and other enhanced services.",,"24 hours a day, 7 days a week",,,CA,,,213.738.6194,,,confirmed,
PSH,,,T.A.Y. Program,,"Enhanced emergency shelter program for immediate and urgent housing needs of the SED/SPMI, TAY young men (18-25) indigent, homeless, at risk of homelessness, temporary shelter for TAY clients in a supportive housing environment for up to 29 nights (including extensions) while pursuing long term goals of permanent housing, free transportation, meals and other enhanced services.",,"24 hours a day, 7 days a week",,,CA,,,213.738.6194,,,confirmed,
DV,,,Tamar House Family Violence Project,,DV hotline,"*Farsi, Hebrew, Russian, Spanish spoken",24hr hotline,,,CA,San Fernando Valley,,818.505.0900,,,,
FB,,,Temple City Spanish SDA Church,,Food Pantry,,Sat 1-3pm,5116 N Rosemead Blvd,,CA,San Gabriel,91766,626.286.8675,,,confirmed,
CS,,,The Pomona Neighborhood Center,,"Distribution of clothing, household, medical, baby, and holiday items.",Low Income,,999 West Holt Blvd.,STE. D,CA,Pomona,91768,909.524.9799,,,,
HCS,,,The Pomona Neighborhood Center,,"Distribution of clothing, household, medical, baby, and holiday items.",Low Income,,999 West Holt Blvd.,STE. D,CA,Pomona,91768,909.524.9799,,,,
HCS,Alexandra,Tostes,The Salvation Army Bell Shelter,Associate Director,Substance Abuse Services,,,5600 Rickenbacker  Rd.,,CA,City of Bell,90201,"323.263.1206
ext. 204",,www1.usw.salvationarmy.org,left message 10/9,
BH,Anne,Murphy,The Salvation Army Haven,Program Director,Substance abuse treatment services. Residential long-term treatment (more than 30 days),Men,Call for more information,11301 Wilshire Blvd.,BLDG 212,CA,Los Angeles,90073,"310.478.3711
VA ext. 44678 ",,http://alcoholism.about.com,confirmed,
SS,Anne,Murphy,The Salvation Army Haven,Program Director,Substance abuse treatment services. Residential long-term treatment (more than 30 days),Men,Call for more information,11301 Wilshire Blvd.,BLDG 212,CA,Los Angeles,90073,"310.478.3711
VA ext. 44678 ",,http://alcoholism.about.com,confirmed,
FB,,,The Treasure Box,,$30.00 box of food valued at 75-100$,Anyone,Orders via Online@ www.thetreasurebox.org,,,CA,,,,,www.thetreasurebox.org,,
SS,Joe,Leal,The Vet Hunters Project,,Connecting homeless veterans to homeless services provided to them,Homeless Veterans,Call for more information,P.O. BOX 3174 ,,CA,El Monte,91733,855.838.4376,,www.vethunters.org,confirmed,
BH,Charlene,Dimas-Peinado,The Whole Child,CEO,"A ""scattered"" community based program in which homeless families are given shelter and help for up to 18 months in private apartment complexes or other types of housing.  The housing may be anywhere in Los Angeles County but the agency seeks to keep families near schools where their children have attended.",,Walk-in clinical services are open: Mon 8:30am-12pm Tues(Spanish speaking only) 8:30am-12pm Weds 12pm-3pm Thurs(Spanish speaking only)12pm-3pm Fri 8:30am-12pm,10155 Colima Rd.,,CA,Whittier,90603,"562.692.0383   
562.204.0640",,"www.intercommunity.org, www.thewholechild.info",confirmed,
CM,Charlene,Dimas-Peinado,The Whole Child,CEO,"A ""scattered"" community based program in which homeless families are given shelter and help for up to 18 months in private apartment complexes or other types of housing.  The housing may be anywhere in Los Angeles County but the agency seeks to keep families near schools where their children have attended.",,Walk-in clinical services are open: Mon 8:30am-12pm Tues(Spanish speaking only) 8:30am-12pm Weds 12pm-3pm Thurs(Spanish speaking only)12pm-3pm Fri 8:30am-12pm,10155 Colima Rd.,,CA,Whittier,90603,"562.692.0383   
562.204.0640",,"www.intercommunity.org, www.thewholechild.info",confirmed,
SS,Charlene,Dimas-Peinado,The Whole Child,CEO,"A ""scattered"" community based program in which homeless families are given shelter and help for up to 18 months in private apartment complexes or other types of housing.  The housing may be anywhere in Los Angeles County but the agency seeks to keep families near schools where their children have attended.",,Walk-in clinical services are open: Mon 8:30am-12pm Tues(Spanish speaking only) 8:30am-12pm Weds 12pm-3pm Thurs(Spanish speaking only)12pm-3pm Fri 8:30am-12pm,10155 Colima Rd.,,CA,Whittier,90603,"562.692.0383   
562.204.0640",,"www.intercommunity.org, www.thewholechild.info",confirmed,
MHS,Charlene,Dimas-Peinado,The Whole Child,CEO,"A ""scattered"" community based program in which homeless families are given shelter and help for up to 18 months in private apartment complexes or other types of housing.  The housing may be anywhere in Los Angeles County but the agency seeks to keep families near schools where their children have attended.",,Walk-in clinical services are open: Mon 8:30am-12pm Tues(Spanish speaking only) 8:30am-12pm Weds 12pm-3pm Thurs(Spanish speaking only)12pm-3pm Fri 8:30am-12pm,10155 Colima Rd.,,CA,Whittier,90603,"562.692.0383   
562.204.0640",,"www.intercommunity.org, www.thewholechild.info",confirmed,
LS,,,Torrance Courthouse- Legal Aid Foundation of Los Angeles (LAFLA).,,Low-cost legal assistance,Low-income community,"M, T, W, Th 9am-12pm, 1:30pm-4pm; Fri 9am-12pm",825 Maple Ave ,#160,CA,Torrance,90503,,,,,
FB,,,Total Restoration Ministries,,Breakfast,,Every Sun 9-10am,420 N. Reservoir St.,,CA,Pomona,91767,909.620.7838,,,,
FB,,,Total Restoration Ministries,,"Sober Living-Offers 24 Hr. Resident Director, 12-step Meetings at house weekly, meals prepared daily.  Structured schedule implemented by a caring and trained staff which eases transition into a new way of life.",,"Call to schedule an appointment, Food Pantry 4th Sunday of the month 1-3Pm",420 N. Reservoir,,CA,Pomona,91767,"909.620.7838
866.750.6134",,www.totalrestorationministries.com,confirmed,
BH,,,Total Restoration Ministries,,"Sober Living-Offers 24 Hr. Resident Director, 12-step Meetings at house weekly, meals prepared daily.  Structured schedule implemented by a caring and trained staff which eases transition into a new way of life.",,"Call to schedule an appointment, Food Pantry 4th Sunday of the month 1-3Pm",420 N. Reservoir,,CA,Pomona,91767,"909.620.7838
866.750.6134",,www.totalrestorationministries.com,confirmed,
SS,,,Total Restoration Ministries,,"Sober Living-Offers 24 Hr. Resident Director, 12-step Meetings at house weekly, meals prepared daily.  Structured schedule implemented by a caring and trained staff which eases transition into a new way of life.",,"Call to schedule an appointment, Food Pantry 4th Sunday of the month 1-3Pm",420 N. Reservoir,,CA,Pomona,91767,"909.620.7838
866.750.6134",,www.totalrestorationministries.com,confirmed,
CDR,,,"Total Restoration Ministries 
",,"Provide Christ Center Residential and Outreach Services for recovery of Addictions 
 Appointment and Assessment Required 
 Temporary Housing and Recovery for 1 year, Fees based on Individual and Family Size 
 After graduation Sober Living is Available 
 Services also provided for Women with max of 2 children 
 Food Pantry providing bagged groceries the 1st and 3rd Thurs of the Month from 9:00-12:00pm",,1st and 3rd Thurs of the Month from 9:00-12:00pm,"420 N. Reservoir St. Pomona, CA 91767",,CA,Pomona,91767,(909) 620-7838,,,,
MHS,Gamaliel,Polanco,Tri City Mental Health Services,Coordinator,"Tri-City Mental Health Center, a public agency serving the diverse communities of Pomona, Claremont, and La Verne.",,,1403 N. Garey Ave.,,CA,Pomona,91767,909.242.7610,gpolanco@tricitymhs.org,www.tricitymhs.org,left message 10/9,
SS,Gamaliel,Polanco,Tri City Mental Health Services,Coordinator,"Tri-City Mental Health Center, a public agency serving the diverse communities of Pomona, Claremont, and La Verne.",,,1403 N. Garey Ave.,,CA,Pomona,91767,909.242.7610,gpolanco@tricitymhs.org,www.tricitymhs.org,left message 10/9,
MHS,Gilbert,Saldate,Tri-City Mental Health Center,Public outreach Coordinator,"Tri-City Mental Health Center, a public agency serving the diverse communities of Pomona, Claremont, and La Verne.",,,2008 N. Garey Ave.,,CA,Pomona,91767,"Toll-Free
866.623.9500",gsaldate@tricitymhs.org,,left message 10/9,
SS,Gilbert,Saldate,Tri-City Mental Health Center,Public outreach Coordinator,"Tri-City Mental Health Center, a public agency serving the diverse communities of Pomona, Claremont, and La Verne.",,,2008 N. Garey Ave.,,CA,Pomona,91767,"Toll-Free
866.623.9500",gsaldate@tricitymhs.org,,left message 10/9,
FB,,,Trinity Methodist Church,,Food Pantry,,M-F 9:00a.m.-3:00p.m.,676 N. Gibbs St.,,CA,Pomona,91767,909.629.9748,,,confirmed,
SS,,,Tutoring Assistance Ganesha Park,,Tutoring Assistance,,"M, Tue & Thu 9:00a.m.-5:30p.m.           Wed 2:00p.m.-5:30p,m,",1575 N. White Ave.,,CA,Pomona,91767,909.620.2303,,,confirmed,
HCS,,,Tzu Chi Community Dental Clinic,,"General dentistry, oral surgery, dentures and oral hygiene education. Initial visit is free, includes dental exam and two x-rays.",,Tues-Sat 9am-5pm. Call for appointment.,10414 Vacco St.,,CA,South El Monte,91733,626.636.8708,,,,
SS,,,U.S. VETS- Supportive Services for Veteran Families,,"Outreach services, case management, legal services, community links and referrals, rental payment assistance, deposits (security or utility).","Member of a veteran family (vet or spouse of vet) who has been discharged other than dishonorably.  Must have very low or extremely low income, and occupy permanent housing currently, have exited permanent housing within the last 90 days, or will enter permanent housing within the next 90 days.",call for information,733 South Hindry Ave,,CA,Inglewood,90301,310.348.7600,,www.usvetsinc.org,,
CM,,,U.S. VETS- Supportive Services for Veteran Families,,"Outreach services, case management, legal services, community links and referrals, rental payment assistance, deposits (security or utility).","Member of a veteran family (vet or spouse of vet) who has been discharged other than dishonorably.  Must have very low or extremely low income, and occupy permanent housing currently, have exited permanent housing within the last 90 days, or will enter permanent housing within the next 90 days.",call for information,733 South Hindry Ave,,CA,Inglewood,90301,310.348.7600,,www.usvetsinc.org,,
LS,,,U.S. VETS- Supportive Services for Veteran Families,,"Outreach services, case management, legal services, community links and referrals, rental payment assistance, deposits (security or utility).","Member of a veteran family (vet or spouse of vet) who has been discharged other than dishonorably.  Must have very low or extremely low income, and occupy permanent housing currently, have exited permanent housing within the last 90 days, or will enter permanent housing within the next 90 days.",call for information,733 South Hindry Ave,,CA,Inglewood,90301,310.348.7600,,www.usvetsinc.org,,
RA,,,U.S. VETS- Supportive Services for Veteran Families,,"Outreach services, case management, legal services, community links and referrals, rental payment assistance, deposits (security or utility).","Member of a veteran family (vet or spouse of vet) who has been discharged other than dishonorably.  Must have very low or extremely low income, and occupy permanent housing currently, have exited permanent housing within the last 90 days, or will enter permanent housing within the next 90 days.",call for information,733 South Hindry Ave,,CA,Inglewood,90301,310.348.7600,,www.usvetsinc.org,,
UA,,,U.S. VETS- Supportive Services for Veteran Families,,"Outreach services, case management, legal services, community links and referrals, rental payment assistance, deposits (security or utility).","Member of a veteran family (vet or spouse of vet) who has been discharged other than dishonorably.  Must have very low or extremely low income, and occupy permanent housing currently, have exited permanent housing within the last 90 days, or will enter permanent housing within the next 90 days.",call for information,733 South Hindry Ave,,CA,Inglewood,90301,310.348.7600,,www.usvetsinc.org,,
SS,Gilbert,Nelson,Union Station Homeless Services,HPRP Project Manager,Assisting homeless and very low-income people.,"Men, Women and Children",,825 E. Orange Grove Blvd,,CA,Pasadena,91104,626.240.4550,gnelson@unionstationhs.org,www.unionstationhs.org,confirmed,
PSH,,,URDC/Casa Maria,,"Transitional housing program for homeless women with a history of substance abuse. Program capacity is 12 women and four children.  A broad array of  supportive services are provided in addition to housing, including: case management, substance abuse counseling, living skills training,  assistance ion obtaining vocational and education as well as employment  training services, counseling regarding gainful employment, and assistance in obtaining permanent housing.",Homeless women aged 18-65 with history of substance abuse.,"24 hours a day, 7 days a week",691 E. Washington Blvd,,CA,Pasadena,91104,626.296.8689,,,,
BH,,,URDC/Casa Maria,,"Transitional housing program for homeless women with a history of substance abuse. Program capacity is 12 women and four children.  A broad array of  supportive services are provided in addition to housing, including: case management, substance abuse counseling, living skills training,  assistance ion obtaining vocational and education as well as employment  training services, counseling regarding gainful employment, and assistance in obtaining permanent housing.",Homeless women aged 18-65 with history of substance abuse.,"24 hours a day, 7 days a week",691 E. Washington Blvd,,CA,Pasadena,91104,626.296.8689,,,,
SS,,,URDC/Casa Maria,,"Transitional housing program for homeless women with a history of substance abuse. Program capacity is 12 women and four children.  A broad array of  supportive services are provided in addition to housing, including: case management, substance abuse counseling, living skills training,  assistance ion obtaining vocational and education as well as employment  training services, counseling regarding gainful employment, and assistance in obtaining permanent housing.",Homeless women aged 18-65 with history of substance abuse.,"24 hours a day, 7 days a week",691 E. Washington Blvd,,CA,Pasadena,91104,626.296.8689,,,,
CM,,,URDC/Casa Maria,,"Transitional housing program for homeless women with a history of substance abuse. Program capacity is 12 women and four children.  A broad array of  supportive services are provided in addition to housing, including: case management, substance abuse counseling, living skills training,  assistance ion obtaining vocational and education as well as employment  training services, counseling regarding gainful employment, and assistance in obtaining permanent housing.",Homeless women aged 18-65 with history of substance abuse.,"24 hours a day, 7 days a week",691 E. Washington Blvd,,CA,Pasadena,91104,626.296.8689,,,,
EES,,,URDC/Casa Maria,,"Transitional housing program for homeless women with a history of substance abuse. Program capacity is 12 women and four children.  A broad array of  supportive services are provided in addition to housing, including: case management, substance abuse counseling, living skills training,  assistance ion obtaining vocational and education as well as employment  training services, counseling regarding gainful employment, and assistance in obtaining permanent housing.",Homeless women aged 18-65 with history of substance abuse.,"24 hours a day, 7 days a week",691 E. Washington Blvd,,CA,Pasadena,91104,626.296.8689,,,,
HCS,,,USC School of Dentistry,,Dental care.,"Children and adults. Appt. only, emergency walk-ins.",Mon-Fri 8:30am-5pm,925 W. 94th St,,CA,Los Angeles,90089,"Children:
213.740.8751 
Adults
213.740.0412",,www.dentistry.usc.edu,,
DV,,,Valley Oasis,,DV hotline,*Spanish Speaking,24hr hotline,,,CA,Antelope Valley,,800.282.4808,,,,
SS,,,Veteran's Job Club,,"Job Leads, Interviewing Techniques, Opportunity to Network, Job Preparedness Techniques, and much more.",Veterans,Last Thursday of the month 9:00am-10:30am.,11635 E Valley Blvd. ,Unit G,CA,El Monte,91732,"626.258.0365 
ext. 226",,www.worksourcecalifornia.com,,
EES,,,Veteran's Job Club,,"Job Leads, Interviewing Techniques, Opportunity to Network, Job Preparedness Techniques, and much more.",Veterans,Last Thursday of the month 9:00am-10:30am.,11635 E Valley Blvd. ,Unit G,CA,El Monte,91732,"626.258.0365 
ext. 226",,www.worksourcecalifornia.com,,
SS,Michael,Felix,"Veterans of Foreign Wars 
Greater El Monte VFW post 10218",Commander,Information and referrals for homeless veterans.,Homeless Veterans,9am-3pm daily,11126 Ramona Blvd.,,CA,El Monte,91731,626.448.1737,,www.vfw.org,confirmed,
VC,,,Victim Center El Monte Area Office,,,,,11234 E Valley Blvd,Room 110,CA,El Monte,91731,626-575-5565,,,,
VC,,,Victim Center Pasadena Branch Office,,,,,300 E Walnut Street,Room 107,CA,Pasadena,91101,626-356-5715,,,,
VC,,,Victim Center Pomona Branch Office,,,,,400 Civic Center Plaza ,Room 201,CA,Pomona,91766,909-620-3381,,,,
VC,,,Victim Center West Covina Branch Office,,,,,1427 W Covina Parkway,Room 105,CA,West Covina,91790,626-813-3169,,,,
SS,,,Victim's Witness Assistance program,,"Assists victims of crimes in obtaining reimbursement for medical expenses, loss of income/support, therapy and funeral expenses.",,,400 Civic Center Plz,#201,CA,Pomona,,909.620.3381,,www.victimwitness.org,left message 10/9,
MHS,,,Victim's Witness Assistance program,,"Assists victims of crimes in obtaining reimbursement for medical expenses, loss of income/support, therapy and funeral expenses.",,,400 Civic Center Plz,#201,CA,Pomona,,909.620.3381,,www.victimwitness.org,left message 10/9,
VC,,,Victime Center Alhambra Branch Office,,,,,150 W Commonwealth Ave,,CA,Alhambra,91801,626-308-5417,,,,
ES,,,Victory Outreach,,"Christian-based residential program for men, women, and pregnant women.",Low-income.,,,,CA,La Puente,91744,626.961.4910,,,,
